EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2600
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,4400
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,13000
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,6000
203,Susan,Mavris,SMAVRIS,515.123.7777,7-Jun-02,HR_REP,6500
204,Hermann,Baer,HBAER,515.123.8888,7-Jun-02,PR_REP,10000
205,Shelley,Higgins,SHIGGINS,515.123.8080,7-Jun-02,AC_MGR,12008
206,William,Gietz,WGIETZ,515.123.8181,7-Jun-02,AC_ACCOUNT,8300
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000
103,Alexander,Hunold,AHUNOLD,590.423.4567,3-Jan-06,IT_PROG,9000
104,Bruce,Ernst,BERNST,590.423.4568,21-May-07,IT_PROG,6000
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800
106,Valli,Pataballa,VPATABAL,590.423.4560,5-Feb-06,IT_PROG,4800
107,Diana,Lorentz,DLORENTZ,590.423.5567,7-Feb-07,IT_PROG,4200
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008
109,Daniel,Faviet,DFAVIET,515.124.4169,16-Aug-02,FI_ACCOUNT,9000
110,John,Chen,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,8200
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,7700
112,Jose Manuel,Urman,JMURMAN,515.124.4469,7-Mar-06,FI_ACCOUNT,7800
113,Luis,Popp,LPOPP,515.124.4567,7-Dec-07,FI_ACCOUNT,6900
114,Den,Raphaely,DRAPHEAL,515.127.4561,7-Dec-02,PU_MAN,11000
115,Alexander,Khoo,AKHOO,515.127.4562,18-May-03,PU_CLERK,3100
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900
117,Sigal,Tobias,STOBIAS,515.127.4564,24-Jul-05,PU_CLERK,2800
118,Guy,Himuro,GHIMURO,515.127.4565,15-Nov-06,PU_CLERK,2600
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-Aug-07,PU_CLERK,2500
120,Matthew,Weiss,MWEISS,650.123.1234,18-Jul-04,ST_MAN,8000
121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,8200
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1-May-03,ST_MAN,7900
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700
127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400
128,Steven,Markle,SMARKLE,650.124.1434,8-Mar-08,ST_CLERK,2200
129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,3300
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,2800
131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,2500
132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,2100
133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,3300
134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2900
135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400
136,Hazel,Philtanker,HPHILTAN,650.127.1634,6-Feb-08,ST_CLERK,2200
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700
140,Joshua,Patel,JPATEL,650.121.1834,6-Apr-06,ST_CLERK,2500
141,Joshua,Patel,JPATEL,650.121.1835,7-Apr-06,ST_CLERK,2501
142,Joshua,Patel,JPATEL,650.121.1836,8-Apr-06,ST_CLERK,2502
143,Joshua,Patel,JPATEL,650.121.1837,9-Apr-06,ST_CLERK,2503
144,Joshua,Patel,JPATEL,650.121.1838,10-Apr-06,ST_CLERK,2504
145,Joshua,Patel,JPATEL,650.121.1839,11-Apr-06,ST_CLERK,2505
146,Joshua,Patel,JPATEL,650.121.1840,12-Apr-06,ST_CLERK,2506
147,Joshua,Patel,JPATEL,650.121.1841,13-Apr-06,ST_CLERK,2507
148,Joshua,Patel,JPATEL,650.121.1842,14-Apr-06,ST_CLERK,2508
149,Joshua,Patel,JPATEL,650.121.1843,15-Apr-06,ST_CLERK,2509
150,Joshua,Patel,JPATEL,650.121.1844,16-Apr-06,ST_CLERK,2510
151,Joshua,Patel,JPATEL,650.121.1845,17-Apr-06,ST_CLERK,2511
152,Joshua,Patel,JPATEL,650.121.1846,18-Apr-06,ST_CLERK,2512
153,Joshua,Patel,JPATEL,650.121.1847,19-Apr-06,ST_CLERK,2513
154,Joshua,Patel,JPATEL,650.121.1848,20-Apr-06,ST_CLERK,2514
155,Joshua,Patel,JPATEL,650.121.1849,21-Apr-06,ST_CLERK,2515
156,Joshua,Patel,JPATEL,650.121.1850,22-Apr-06,ST_CLERK,2516
157,Joshua,Patel,JPATEL,650.121.1851,23-Apr-06,ST_CLERK,2517
158,Joshua,Patel,JPATEL,650.121.1852,24-Apr-06,ST_CLERK,2518
159,Joshua,Patel,JPATEL,650.121.1853,25-Apr-06,ST_CLERK,2519
160,Joshua,Patel,JPATEL,650.121.1854,26-Apr-06,ST_CLERK,2520
161,Joshua,Patel,JPATEL,650.121.1855,27-Apr-06,ST_CLERK,2521
